Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,32.660000,34.619999,32.512501,34.055000,33.799732,50875200
2019-01-03,33.447498,33.790001,31.922501,31.997499,31.757652,70555200
2019-01-04,32.735001,34.432499,32.424999,34.047501,33.792282,58562000
2019-01-07,34.625000,36.222500,34.107498,35.849998,35.581264,70916000
2019-01-08,36.672501,36.695000,34.224998,34.957500,34.695465,78601600
2019-01-09,35.474998,36.122501,34.965000,35.645000,35.377811,61726000
2019-01-10,35.450001,36.395000,34.840000,36.307499,36.035339,52315600
2019-01-11,36.082500,37.437500,35.802502,37.207500,36.928604,87476400
2019-01-14,36.680000,37.865002,36.442501,37.610001,37.328087,73016800
2019-01-15,37.939999,38.337502,37.282501,37.467499,37.186646,61701200
2019-01-16,37.742500,38.075001,37.154999,37.209999,36.931084,47010400
2019-01-17,36.877499,38.332500,36.602501,37.930000,37.645687,49343600
2019-01-18,38.432499,39.494999,37.912498,39.232498,38.938419,65133600
2019-01-22,38.927502,39.044998,36.887501,37.192501,36.913723,66155200
2019-01-23,37.750000,38.645000,37.007500,37.322498,37.042744,59102000
2019-01-24,38.174999,39.637501,38.127499,39.459999,39.164211,70897200
2019-01-25,38.860001,40.220001,37.825001,40.037498,39.737392,115457200
2019-01-28,34.137501,35.410000,32.750000,34.502499,34.243866,251152800
2019-01-29,34.037498,34.525002,32.752499,32.900002,32.653393,115393200
2019-01-30,33.667500,34.492500,32.865002,34.347500,34.090042,97422800
2019-01-31,34.314999,36.297501,34.095001,35.937500,35.668118,84285200
2019-02-01,36.125000,36.697498,35.645000,36.182499,35.911285,62504800
2019-02-04,36.342499,37.669998,36.119999,37.294998,37.015442,52859200
2019-02-05,37.415001,37.857498,37.075001,37.487499,37.206501,54242400
2019-02-06,37.822498,38.900002,37.767502,38.250000,37.963287,70246400
2019-02-07,37.782501,37.805000,36.422501,36.855000,36.578739,63712000
2019-02-08,36.177502,37.150002,36.032501,37.042500,36.764832,46160400
2019-02-11,36.597500,37.145000,36.125000,36.612499,36.338058,49518000
2019-02-12,37.000000,37.950001,36.855000,37.792500,37.509216,59106000
2019-02-13,38.090000,38.957500,37.952499,38.220001,37.933510,60537200
2019-02-14,38.209999,38.917500,37.775002,38.632500,38.342918,82726400
2019-02-15,40.737499,40.967499,39.105000,39.334999,39.040150,151674800
2019-02-19,39.227501,39.972500,39.035000,39.160000,38.866447,55189200
2019-02-20,39.455002,40.314999,39.342499,39.637501,39.340389,54098800
2019-02-21,39.764999,40.012501,38.794998,38.942501,38.650589,44854800
2019-02-22,39.465000,39.987499,39.327499,39.797501,39.499184,40174000
2019-02-25,40.639999,41.320000,39.584999,39.672501,39.375118,65602000
2019-02-26,39.625000,40.189999,38.937500,39.275002,38.980606,48846400
2019-02-27,39.130001,39.397499,38.277500,38.852501,38.561264,50025600
2019-02-28,38.750000,38.974998,38.340000,38.564999,38.315365,32494400
2019-03-01,39.067501,39.537498,38.480000,39.112499,38.859329,35718800
2019-03-04,39.500000,39.730000,38.625000,39.195000,38.941288,40999200
2019-03-05,39.037498,39.514999,38.490002,39.130001,38.876720,36292400
2019-03-06,39.040001,39.125000,37.985001,38.012501,37.766449,40352400
2019-03-07,37.775002,37.872501,36.849998,37.314999,37.073463,45010400
2019-03-08,36.415001,37.767502,36.200001,37.660000,37.416229,42241600
2019-03-11,37.897499,40.514999,37.422501,40.285000,40.024235,85972800
2019-03-12,40.564999,41.097500,39.797501,40.630001,40.367004,57957600
2019-03-13,41.007500,42.450001,40.932499,42.154999,41.882137,76890000
